"","mi_ground_truths","bart_ground_truths"
"1",10.047314268708,10.047452111625
"2",10.047314268708,10.0473000958733
"3",10.047314268708,10.0470869131598
"4",10.047314268708,10.0474935662701
"5",10.047314268708,10.047310062147
"6",10.047314268708,10.0474526534045
"7",10.047314268708,10.0474101802745
"8",10.047314268708,10.0473540038506
"9",10.047314268708,10.0474823555482
"10",10.047314268708,10.0474066802735
"11",10.047314268708,10.0473057661481
"12",10.047314268708,10.0472452639267
"13",10.047314268708,10.0470688350904
"14",10.047314268708,10.0471122084884
"15",10.047314268708,10.0470525850757
"16",10.047314268708,10.0473059226639
"17",10.047314268708,10.0472920550109
"18",10.047314268708,10.0473925769854
"19",10.047314268708,10.0472685884635
"20",10.047314268708,10.0476337271123
